ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_COUNT
10001,5,2,31,1
10002,5,22,4,1
10003,5,1,4,1
10004,1,0,31,1
10005,4,7,3,1
10006,5,9,30,1
10007,5,18,30,1
10008,7,21,99,1
10009,3,8,31,1
10010,2,18,4,1
10011,4,20,4,1
10012,6,6,15,1
10013,7,10,4,1
10014,1,6,15,1
10015,1,8,31,1
10016,3,17,31,1
10017,4,14,4,1
10018,6,19,21,1
10019,2,1,14,1
10020,5,17,4,1
10021,6,13,31,1
10022,2,6,31,1
10023,2,21,15,1
10024,6,6,4,1
10026,3,13,4,1
10027,7,14,5,1
10028,7,0,14,1
10029,6,5,31,1
10031,7,16,14,1
10032,1,6,1,1
10034,5,14,31,1
10035,4,9,31,1
10037,2,14,4,1
10038,3,16,90,1
10039,5,0,14,1
10040,3,15,4,1
10041,4,21,80,1
10042,7,18,4,1
10043,2,3,30,1
10044,7,3,4,1
10045,7,8,31,1
10046,1,2,4,1
10047,5,0,4,1
10049,5,1,21,1
10050,7,4,66,1
10051,1,14,4,1
10052,2,4,14,1
10053,1,17,4,1
10054,3,17,88,1
10055,4,2,99,1
10056,1,2,4,1
10057,4,17,66,1
10058,1,14,80,1
10059,3,22,31,1
10060,3,17,4,1
10061,6,21,31,1
10062,7,10,31,1
10063,1,3,4,1
10064,4,0,31,1
10065,7,10,4,1
10066,1,1,2,1
10067,4,11,4,1
10068,1,18,31,1
10069,1,21,31,1
10070,1,3,31,1
10071,6,22,14,1
10072,1,19,4,1
10073,6,23,5,1
10074,2,5,14,1
10075,3,18,4,1
10076,6,10,31,1
10077,2,18,14,1
10078,3,15,63,1
10079,7,4,31,1
10080,3,15,4,1
10081,6,12,6,1
10082,3,21,14,1
10084,1,10,31,1
10085,1,13,14,1
10086,1,17,31,1
10088,3,19,4,1
10089,3,18,4,1
10090,5,18,31,1
10091,3,10,4,1
10092,1,19,6,1
10094,6,20,4,1
10096,6,13,2,1
10098,7,19,14,1
10099,4,11,92,1
10101,7,4,4,1
10102,7,3,4,1
10103,7,1,31,1
10105,6,99,5,1
10106,2,23,4,1
10107,6,0,4,1
10108,6,19,4,1
10109,7,10,4,1
10110,7,16,80,1
10111,2,22,31,1
10112,7,1,4,1
10113,7,20,14,1
10114,4,22,4,1
10115,6,23,15,1
10116,7,21,66,1
10117,4,19,14,1
10118,1,4,4,1
10119,1,20,4,1
10120,3,13,2,1
10121,1,14,80,1
10122,3,11,14,1
10123,2,7,31,1
10124,2,10,14,1
10126,5,12,31,1
10128,6,21,99,1
10129,3,7,4,1
10130,3,8,16,1
10131,3,19,4,1
10132,5,4,4,1
10133,5,8,66,1
10134,6,23,2,1
10135,6,21,4,1
10136,7,4,31,1
10137,2,19,4,1
10138,6,19,4,1
10139,6,11,3,1
10140,7,18,31,1
10141,5,16,66,1
10143,2,0,4,1
10144,3,19,14,1
10145,3,20,80,1
10146,7,20,4,1
10147,4,16,31,1
10148,6,8,14,1
10149,6,19,40,1
10150,1,11,14,1
10151,7,15,2,1
10152,2,6,31,1
10153,2,17,15,1
10154,2,11,31,1
10155,2,20,2,1
10156,6,13,21,1
10157,6,5,30,1
10158,2,17,4,1
10159,5,11,4,1
10160,7,22,2,1
10161,2,15,5,1
10162,5,6,99,1
10163,7,5,4,1
10164,2,14,2,1
10166,6,3,2,1
10167,7,23,2,1
10168,1,0,31,1
10169,2,12,2,1
10170,4,20,20,1
10171,5,5,80,1
10172,6,15,14,1
10173,7,23,4,1
10174,4,5,4,1
10175,4,11,20,1
10176,5,7,14,1
10177,5,20,4,1
10178,7,21,99,1
10179,7,10,80,1
10181,1,3,14,1
10182,1,9,4,1
10183,6,20,4,1
10184,3,15,31,1
10185,4,14,4,1
10186,6,13,30,1
10187,6,20,14,1
10188,7,12,15,1
10189,1,10,31,1
10190,4,13,14,1
10191,7,4,31,1
10192,3,8,4,1
10193,6,11,15,1
10194,6,18,31,1
10196,6,20,31,1
10197,7,20,66,1
10198,2,9,4,1
10200,4,11,14,1
10201,5,23,14,1
10202,5,20,30,1
10203,7,0,4,1
10204,6,18,16,1
10205,3,0,5,1
10206,5,19,31,1
10207,5,20,4,1
10208,2,23,4,1
10209,5,13,31,1
10210,7,19,14,1
10211,5,9,14,1
10212,5,17,66,1
10214,5,20,30,1
10215,7,22,80,1
10216,1,17,14,1
10217,2,0,4,1
10218,2,11,20,1
10220,2,19,2,1
10221,3,14,30,1
10223,6,21,15,1
10224,2,21,15,1
10225,5,22,6,1
10226,6,9,30,1
10227,6,11,30,1
10228,1,16,30,1
10229,2,6,4,1
10230,1,9,4,1
10231,7,20,14,1
10232,2,20,4,1
10233,5,17,31,1
10234,2,16,30,1
10235,6,19,66,1
10236,7,13,14,1
10237,1,2,4,1
10238,1,16,15,1
10239,7,18,31,1
10240,2,8,30,1
10241,2,12,4,1
10242,1,0,4,1
10243,7,15,80,1
10244,5,6,31,1
10245,5,14,30,1
10246,5,21,31,1
10247,6,21,99,1
10248,6,9,6,1
10249,2,1,14,1
10250,2,6,30,1
10251,2,15,15,1
10252,4,5,80,1
10253,4,6,3,1
10254,4,17,14,1
10255,4,19,30,1
10256,4,20,31,1
10257,5,13,31,1
10258,5,14,88,1
10259,6,16,80,1
10260,6,19,80,1
10261,1,18,80,1
10262,1,20,90,1
10263,2,11,4,1
10264,4,22,4,1
10265,4,5,30,1
10266,3,14,4,1
10267,2,15,31,1
10268,4,9,2,1
10269,5,18,4,1
10270,6,20,4,1
10271,6,22,31,1
10272,1,18,14,1
10273,7,17,14,1
10274,1,19,15,1
10275,1,14,15,1
10276,1,19,4,1
10277,4,17,4,1
10278,5,3,4,1
10279,5,13,1,1
10280,2,21,31,1
10281,3,9,31,1
10282,3,20,80,1
10283,7,5,4,1
10284,5,12,4,1
10285,5,15,66,1
10286,7,14,4,1
10287,2,7,31,1
10288,7,19,4,1
10289,3,21,4,1
10291,4,23,99,1
10292,6,3,66,1
10293,7,19,80,1
10294,2,0,31,1
10295,2,5,6,1
10296,3,19,30,1
10298,5,15,14,1
10299,6,18,14,1
10300,1,2,4,1
10301,6,1,31,1
10302,3,2,4,1
10303,1,2,4,1
10304,7,20,4,1
10305,6,16,66,1
10306,1,15,4,1
10307,2,12,4,1
10309,6,5,4,1
10310,7,8,63,1
10311,1,2,4,1
10312,7,2,30,1
10313,3,14,30,1
10314,1,17,4,1
10315,2,18,4,1
10317,4,14,4,1
10318,4,2,4,1
10319,3,20,14,1
10320,4,10,31,1
10321,4,17,4,1
10322,7,12,2,1
10323,1,3,31,1
10324,1,18,80,1
10325,3,12,31,1
10326,5,7,30,1
10327,5,20,14,1
10328,6,1,31,1
10329,6,5,4,1
10330,6,9,80,1
10331,6,21,31,1
10332,5,6,14,1
10333,7,17,4,1
10334,7,13,4,1
10335,1,6,31,1
10336,1,18,30,1
10337,4,15,20,1
10338,5,7,4,1
10339,5,10,80,1
10340,5,11,4,1
10341,7,0,49,1
10342,6,18,4,1
10343,5,13,66,1
10344,4,17,80,1
10345,3,6,15,1
10346,7,0,82,1
10347,5,10,4,1
10349,4,14,21,1
10350,2,22,4,1
10351,4,19,14,1
10352,5,18,4,1
10353,5,19,31,1
10354,7,17,14,1
10355,7,19,5,1
10356,1,2,4,1
10357,3,22,4,1
10359,3,14,15,1
10361,5,23,4,1
10362,3,3,4,1
